drug_name,nafdac_number,manufacturer,batch_number,barcode,label,note
DEMO Paracetamol 500mg,04-9458,Example Healthcare Ltd,B21306,5981627664882,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-78567,Demo Life Sciences Ltd,B12311,8182355511447,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,04-1182,Example Healthcare Ltd,B10275,6577096259220,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,04-7119,Sample Remedies Ltd,B63058,5957484985271,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-7672,Example Laboratories Ltd,B28139,5958679739621,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,A11-1608,Sample Health Nigeria Ltd,B30746,1915916132618,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Vitamin C 100mg,04-1224,Demo Pharma Nigeria Ltd,B85621,1632800247080,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-7141,Demo Life Sciences Ltd,B62445,2146840039653,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO @@@ 500mg,04-5087,Demo Pharma Nigeria Ltd,B31086,7571923616303,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Metronidazole 400mg,04-7254,Demo Life Sciences Ltd,B49939,2646128655879,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,04-5644,Demo Life Sciences Ltd,B14675,9032332772256,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Metronidazole 400mg,04-9375,Sample Remedies Ltd,B66437,3185010869147,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-48057,Sample Health Nigeria Ltd,B98091,7702329648180,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-8914,Demo Life Sciences Ltd,B49521,4887694512829,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-2527,Sample Remedies Ltd,B56083,2490697729110,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-9629,Example Laboratories Ltd,B75734,9066565906984,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-8577,Example Laboratories Ltd,B38809,3025688731971,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-6237,Sample Health Nigeria Ltd,B55196,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,999999,Demo Pharma Nigeria Ltd,B78425,5670373917178,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Cetirizine 10mg,A11-8628,Sample Remedies Ltd,B65114,7808642808807,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-28039,Example Laboratories Ltd,B81819,7719408676495,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-37779,Sample Remedies Ltd,B91473,9272998894320,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-7681,Example Laboratories Ltd,B24708,4341524387577,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-9445,Demo Pharma Nigeria Ltd,B66477,7977099269738,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-18850,Example Healthcare Ltd,B10201,5595945685658,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-5890,Demo Life Sciences Ltd,B31597,6329864347163,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-3772,Demo Life Sciences Ltd,B22429,3131745428145,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-1050,Sample Health Nigeria Ltd,B82056,4348033810476,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-30876,Example Laboratories Ltd,B84585,3126610913652,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-11853,Demo Pharma Nigeria Ltd,B34767,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,04-1182,Example Laboratories Ltd,B44321,5404232769610,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,A11-5751,Sample Health Nigeria Ltd,B61267,6880643308032,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Artemether 20mg,04-8419,Example Laboratories Ltd,B23407,6256570084263,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-18316,Sample Remedies Ltd,B68817,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO @@@ 500mg,A11-1841,Demo Life Sciences Ltd,B24897,6926747345656,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Zinc 20mg,A4-12092,Example Healthcare Ltd,B11725,1364490567400,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-5034,Sample Remedies Ltd,B58268,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetomol 500mg,A4-28739,Demo Life Sciences Ltd,B88182,3173401545595,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,04-5723,Example Healthcare Ltd,B20088,3595480330727,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-1146,Sample Health Nigeria Ltd,B29078,1964897612741,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-12X,Sample Health Nigeria Ltd,B53102,5445187688389,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A4-1785,Demo Pharma Nigeria Ltd,B70581,6562664544196,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-75873,Sample Remedies Ltd,B45772,4704901256167,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-2098,Example Healthcare Ltd,B-XYZ,5641571628628,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Paracetamol 500mg,A4-76554,Example Healthcare Ltd,B37028,4880934713132,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,FAKE-0001,Example Healthcare Ltd,B76023,4724198288956,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetomol 500mg,04-8558,Sample Remedies Ltd,B76000,6020980106497,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxcillin 500mg,04-5332,Demo Life Sciences Ltd,B70699,3854085956875,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,A11-1900,Demo Pharma Nigeria Ltd,???,6995954487747,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,A11-2299,Demo Pharma Nigeria Ltd,B26865,9906926470044,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-7530,Demo Life Sciences Ltd,B34738,9820113804503,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-5259,Example Healthcare Ltd,B29726,7149489530660,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-4571,Sample Remedies Ltd,,7714938088642,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Artemether 20mg,04-8884,Example Laboratories Ltd,B68260,3183628316730,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,NAFDAC-XYZ-000,Demo Pharma Nigeria Ltd,B24435,6945253079540,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Metronidazole 400mg,04-2464,Demo Life Sciences Ltd,12,3730986076525,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxcillin 500mg,A11-8501,Sample Remedies Ltd,B86379,2715784809453,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,04-9830,Demo Pharma Nigeria Ltd,12,8115413401499,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A4/ABC,Demo Life Sciences Ltd,B79214,5551824504891,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Amoxicillin 500mg,NAFDAC-XYZ-000,Sample Health Nigeria Ltd,B86666,5470640026462,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Amoxicillin 500mg,A11-2636,Sample Remedies Ltd,B29020,9802384663649,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-98671,Example Healthcare Ltd,B11133,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetomol 500mg,A11-7459,Sample Remedies Ltd,B72992,3896462527268,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO @@@ 500mg,04-5202,Sample Health Nigeria Ltd,B23760,3732806210842,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Artemether 20mg,A4-45212,Demo Life Sciences Ltd,B35809,2224247006988,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,FAKE-0001,Demo Life Sciences Ltd,B35491,9447496036958,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetomol 500mg,A11-5291,Demo Life Sciences Ltd,B19834,6605658692704,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,A11-5801,Example Healthcare Ltd,B42920,5024790684311,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-7207,Example Laboratories Ltd,B68365,1477291345046,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-1144,Example Healthcare Ltd,B98167,2805999628716,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-2729,Sample Remedies Ltd,???,3456458305973,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Ibuprofen 200mg,A4-13497,Example Healthcare Ltd,B86388,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetamol 500mg,NAFDAC-XYZ-000,Demo Life Sciences Ltd,B47505,8830858506523,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,999999,Demo Life Sciences Ltd,B50563,7175163790024,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A4-81278,Demo Pharma Nigeria Ltd,B17477,6213287763050,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-5040,Sample Remedies Ltd,B45255,3463303668712,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-1344,Sample Health Nigeria Ltd,,3531213701867,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Vitamin C 100mg,FAKE-0001,Demo Pharma Nigeria Ltd,B73273,8871718706585,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Paracetamol 500mg,A4-3403,Sample Remedies Ltd,B78405,ABC123456789,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Artemether 20mg,04-7565,Sample Remedies Ltd,B47905,7557342782840,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-67189,Sample Remedies Ltd,B75430,8690741812378,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-97772,Sample Remedies Ltd,B25144,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,04-3672,Example Laboratories Ltd,B40808,4362319058251,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-47552,Demo Pharma Nigeria Ltd,B55079,2506215423799,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-7326,Sample Remedies Ltd,B32133,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Ibuprofen 200mg,A4-42414,Sample Remedies Ltd,B47890,5559500257838,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-1631,Example Healthcare Ltd,B58875,3405994430117,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-7965,Sample Remedies Ltd,B73912,3333563208173,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-24430,Demo Pharma Nigeria Ltd,B38481,9245185191189,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-4124,Sample Health Nigeria Ltd,B44209,7136197423283,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-78133,Example Healthcare Ltd,B67449,2884895528736,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-6242,Example Healthcare Ltd,B59620,1327887525788,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-5767,Sample Remedies Ltd,B88198,1997239555293,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-47966,Sample Remedies Ltd,B27513,9317121840857,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-86395,Demo Life Sciences Ltd,B99048,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,A4-54190,Sample Health Nigeria Ltd,B84591,4945663814770,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4/ABC,Demo Pharma Nigeria Ltd,B61267,2929108932529,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Artemether 20mg,A11-8098,Sample Remedies Ltd,B68319,5019230351585,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,04-6898,Sample Remedies Ltd,B48754,1737278957667,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-4579,Example Healthcare Ltd,B68703,9246718305233,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-2232,Sample Health Nigeria Ltd,B88120,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,A4/ABC,Sample Remedies Ltd,B83382,3468068401513,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Artemether 20mg,04-8583,Example Healthcare Ltd,B26330,2687783019149,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-32319,Example Laboratories Ltd,B61001,2878541950932,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-6351,Sample Remedies Ltd,B83328,7567137942348,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,04-5568,Sample Remedies Ltd,???,5657547199541,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,04-5504,Demo Life Sciences Ltd,B48522,1143246727357,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-47848,Demo Life Sciences Ltd,B91279,7430968884430,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-2610,Sample Remedies Ltd,B73362,4701526773587,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-1890,Sample Remedies Ltd,B85744,9180757049948,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-8438,Demo Pharma Nigeria Ltd,B71405,7661315878263,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-1138,Demo Pharma Nigeria Ltd,B46227,2106736953688,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A11-4553,Sample Remedies Ltd,B48247,3474385227733,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-7729,Example Healthcare Ltd,B63229,6903239157764,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-8769,Demo Pharma Nigeria Ltd,B28151,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,A4-55621,Sample Health Nigeria Ltd,B56760,6672119454756,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,04-7975,Example Laboratories Ltd,B55485,8975964820503,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-2845,Demo Life Sciences Ltd,B91942,3640376555127,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A4-69891,Sample Health Nigeria Ltd,B67179,4900777799576,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-57892,Demo Life Sciences Ltd,B73752,5989776377013,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,04-6370,Example Healthcare Ltd,B44874,4271210377569,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-1981,Demo Life Sciences Ltd,B41993,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Metronidazole 400mg,04-3524,Sample Health Nigeria Ltd,B45444,9997433659565,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-1516,Sample Remedies Ltd,B57089,7227940297477,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-63624,Sample Health Nigeria Ltd,???,8999089897284,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,04-4062,Example Healthcare Ltd,B89568,7391502464487,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-2085,Demo Life Sciences Ltd,B20952,7142403574017,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-7422,Sample Remedies Ltd,B13557,9470562483925,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,999999,Sample Remedies Ltd,B77393,7011314830526,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Zinc 20mg,A4/ABC,Sample Remedies Ltd,B69223,3481858679455,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,A11-7449,Example Healthcare Ltd,B40721,2945008495739,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A11-3257,Example Healthcare Ltd,B57632,6668089972523,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetomol 500mg,A4-53221,Demo Life Sciences Ltd,B23836,4274172839481,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Vitamin C 100mg,FAKE-0001,Sample Health Nigeria Ltd,B44382,6356941196649,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO @@@ 500mg,A4-66070,Demo Life Sciences Ltd,B82059,6356628758701,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Cetirizine 10mg,A4-23550,Example Healthcare Ltd,B,3141188979978,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,04-7431,Sample Remedies Ltd,B87279,3186872757665,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-2900,Demo Pharma Nigeria Ltd,B73130,5377225809399,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-4084,Sample Remedies Ltd,B10831,4334046320781,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-69122,Demo Life Sciences Ltd,B61599,1637204245962,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A4-21619,Sample Health Nigeria Ltd,B62394,4707772516107,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-6850,Example Laboratories Ltd,B37181,9195976380249,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A4-63676,Example Laboratories Ltd,B24455,3764810202690,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-4083,Example Healthcare Ltd,B28219,1927895230767,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-3011,Example Healthcare Ltd,B73338,4198238833203,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-34530,Example Healthcare Ltd,B96353,4178690467488,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-1394,Demo Life Sciences Ltd,B69662,7901753682724,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,04-4625,Sample Remedies Ltd,B68842,6857018520166,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Paracetomol 500mg,A11-1577,Demo Life Sciences Ltd,B57859,2839291243742,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Ibuprofen 200mg,A4-59979,Demo Life Sciences Ltd,B80615,6407644387662,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,A4-33298,Sample Remedies Ltd,B85593,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Ibuprofen 200mg,A11-1990,Sample Remedies Ltd,B48630,6328025987039,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-6534,Sample Health Nigeria Ltd,B86646,1417816402998,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetomol 500mg,04-7866,Example Healthcare Ltd,B43072,2710861945735,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Amoxicillin 500mg,A4-25332,Example Healthcare Ltd,B23566,3846094391675,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-6759,Sample Health Nigeria Ltd,B63909,8475713442844,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-2082,Example Laboratories Ltd,B30296,4795196993051,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-9813,Example Laboratories Ltd,B59364,5943429114414,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-3718,Demo Life Sciences Ltd,B14993,2517568856483,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxcillin 500mg,A11-4217,Demo Pharma Nigeria Ltd,B28962,5616590054601,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Artemether 20mg,A11-5074,Example Healthcare Ltd,B55285,3648906773513,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Zinc 20mg,04-5272,Demo Life Sciences Ltd,B63779,3009903293457,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-58553,Demo Pharma Nigeria Ltd,B41499,7455796468356,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-5659,Sample Remedies Ltd,B42380,9397677173305,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-4709,Sample Health Nigeria Ltd,B47467,9436242894208,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-5999,Example Laboratories Ltd,B85185,12345,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Metronidazole 400mg,A4/ABC,Sample Health Nigeria Ltd,B67910,8451317324408,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Ibuprofen 200mg,A1--77,Example Healthcare Ltd,B70767,6529629259578,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO Vitamin C 100mg,04-8529,Sample Health Nigeria Ltd,B24823,3592738656420,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-2050,Example Healthcare Ltd,,7780317525554,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Zinc 20mg,A4-51108,Example Healthcare Ltd,B64131,7900314286889,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A11-8173,Demo Life Sciences Ltd,B60394,4884851872910,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,04-9249,Demo Life Sciences Ltd,B13767,4955335899209,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A11-3980,Sample Health Nigeria Ltd,B26203,2576668575259,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Vitamin C 100mg,A11-1358,Sample Remedies Ltd,B88704,5500325934438,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,04-6047,Example Healthcare Ltd,B40656,6593325017815,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,FAKE-0001,Example Laboratories Ltd,B93647,3980604204658,suspicious,Synthetic demonstration record; injected issue: bad_nafdac.
DEMO @@@ 500mg,A11-1791,Sample Remedies Ltd,B62516,3491229586519,suspicious,Synthetic demonstration record; injected issue: odd_text.
DEMO Vitamin C 100mg,A4-33150,Demo Life Sciences Ltd,B29559,1564869501375,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Cetirizine 10mg,A4-94012,Demo Life Sciences Ltd,B37758,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Amoxicillin 500mg,A4-30493,Sample Health Nigeria Ltd,12,6839622405941,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Amoxicillin 500mg,04-8534,Demo Pharma Nigeria Ltd,B89356,999999999999999,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Paracetamol 500mg,A4-1423,Example Laboratories Ltd,B25695,1436451240447,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-59265,Demo Life Sciences Ltd,B97448,6921026032653,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A11-7558,Example Healthcare Ltd,B70649,000000000000,suspicious,Synthetic demonstration record; injected issue: bad_barcode.
DEMO Vitamin C 100mg,04-2101,Sample Health Nigeria Ltd,,6475750718894,suspicious,Synthetic demonstration record; injected issue: bad_batch.
DEMO Metronidazole 400mg,A11-4100,Demo Pharma Nigeria Ltd,B89231,9767987495516,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Metronidazole 400mg,A4-83573,Example Laboratories Ltd,B28779,3315741890095,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,04-1468,Example Healthcare Ltd,B51325,2531119650540,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Artemether 20mg,A11-8823,Sample Health Nigeria Ltd,B23957,1658626215228,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A4-45423,Demo Pharma Nigeria Ltd,B96641,9198872555479,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-5460,Sample Remedies Ltd,B64787,3635621553292,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Paracetamol 500mg,A4-48570,Sample Remedies Ltd,B60476,1888883719421,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Ibuprofen 200mg,A11-1824,Sample Remedies Ltd,B94195,1040041223279,genuine_like,Synthetic demonstration record with internally consistent formatting.
DEMO Amoxicillin 500mg,A11-4644,Sample Health Nigeria Ltd,B82021,9238945154744,genuine_like,Synthetic demonstration record with internally consistent formatting.
